"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_indec_id"
296,"2012-03-31 03:00:00","Buenos Aires","Mercedes","Mercedes","Por aspecto físico - Por indumentaria","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-04-04 13:44:50.093","Página web de RENCAP ","2012-04-03 18:28:58.743","06"
297,"2012-03-31 03:00:00","Buenos Aires","Mercedes","Mercedes","Por aspecto físico - Por indumentaria","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-04-04 13:44:02.657","Página web de RENCAP ","2012-04-03 18:38:26.627","06"
298,"2012-04-01 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-04-04 13:42:26.577","Call Center","2012-04-03 19:57:18.160","02"
299,"2012-04-05 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-04-09 11:47:36.753","Call Center","2012-04-05 04:34:35.987","02"
300,"2012-04-05 01:00:00","Buenos Aires","La Plata","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-04-09 11:41:22.293","Página web de RENCAP ","2012-04-05 16:02:40.840","06"
301,"2012-04-05 01:00:00","Buenos Aires","La Plata","La Plata","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - Hay mas personas que las permitidas por la habilitación","En el acceso local","Controladores","","","Derivado","2012-04-10 13:19:04.813","Call Center","2012-04-05 16:24:15.973","06"
302,"2012-03-31 01:30:00","Córdoba","Córdoba","","Por aspecto físico - Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-04-09 11:42:37.110","Página web de RENCAP ","2012-04-05 16:29:17.570","14"
303,"2012-04-06 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-04-09 11:43:50.180","Página web de RENCAP ","2012-04-07 04:45:06.793","02"
304,"2012-04-06 01:10:00","Santa Fé","Rosario","Rosario","","","En el acceso local","Controladores - Policias","","Se hizo denuncia policial","Derivado","2012-04-10 13:19:58.787","Call Center","2012-04-09 10:33:55.507","82"
305,"2012-04-07 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Controladores","","","Derivado","2012-04-10 11:01:48.937","Call Center","2012-04-09 14:28:08.497","02"
306,"2012-03-01 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-04-11 15:33:16.963","Call Center","2012-04-10 16:44:44.833","02"
307,"2012-04-05 03:04:00","Buenos Aires","La Matanza","Tapiales","","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el acceso local - En las proximidades del local","","Agresión verbal - Agresión física","","Derivado","2012-04-13 12:41:33.227","Página web de RENCAP ","2012-04-13 03:40:52.557","06"
308,"2012-04-13 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-04-16 11:45:02.680","Call Center","2012-04-16 09:50:32.453","02"
309,"2012-04-15 02:30:00","Buenos Aires","Bahía Blanca","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-04-17 14:02:38.923","Página web de RENCAP ","2012-04-16 13:22:40.287","06"
310,"2012-04-21 04:00:00","Buenos Aires","Vicente López","Olivos","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-04-25 13:37:20.820","Call Center","2012-04-24 13:58:22.437","06"
311,"2012-04-22 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-04-25 13:38:19.587","Call Center","2012-04-24 14:00:17.517","02"
312,"2012-04-28 07:00:00","Ciudad Autónoma de Buenos Aires","Barrio Colegiales","","","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal","","Derivado","2012-05-02 14:24:13.980","Call Center","2012-04-28 08:32:28.730","02"
313,"2012-04-30 01:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2012-05-02 14:31:43.960","Call Center","2012-04-30 11:37:38.100","06"
314,"2012-04-30 23:40:00","Buenos Aires","Lanús","Lanús","","","En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2012-05-02 14:34:58.240","Call Center","2012-05-02 13:26:38.790","06"
315,"2012-04-30 23:40:00","Buenos Aires","Lanús","Lanús","","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Derivado","2012-05-07 13:19:38.117","Página web de RENCAP ","2012-05-02 22:01:41.527","06"
316,"2012-04-26 20:40:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico - Por indumentaria - Racial","","","","","","Derivado","2012-05-07 13:18:22.410","Página web de RENCAP ","2012-05-04 00:50:23.980","06"
317,"2012-04-11 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-05-07 13:13:59.770","Página web de RENCAP ","2012-05-04 03:03:09.507","02"
318,"2012-05-05 02:30:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-05-07 13:06:44.987","Call Center","2012-05-05 03:24:04.063","50"
319,"2012-05-05 11:48:00","Buenos Aires","La Plata","Tolosa","","Presencia de menores","","","","","Derivado","2012-05-07 13:12:50.240","Página web de RENCAP ","2012-05-05 23:48:40.610","06"
320,"2012-05-06 05:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria - Por religion - Por ideologia - Racial","","En el interior del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-05-07 13:10:29.467","Página web de RENCAP ","2012-05-06 06:05:07.793","02"
321,"2012-05-06 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-05-07 13:08:28.617","Página web de RENCAP ","2012-05-06 19:03:14.570","02"
322,"2012-05-12 03:30:00","Buenos Aires","La Plata","Ringuelet","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-05-14 14:29:20.790","Call Center","2012-05-13 14:00:00.263","06"
323,"2012-05-13 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-05-14 14:25:55.090","Call Center","2012-05-14 14:01:29.230","02"
324,"2012-05-17 00:15:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-05-17 14:08:58.477","Call Center","2012-05-17 09:45:37.147","14"
325,"2012-04-20 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-05-17 14:00:33.583","Página web de RENCAP ","2012-05-17 12:25:02.543","02"
326,"2012-05-12 05:30:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-05-22 13:37:19.960","Call Center","2012-05-17 16:01:13.560","02"
327,"2012-05-19 02:15:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-05-22 14:08:54.490","Página web de RENCAP ","2012-05-21 11:33:39.700","06"
328,"1998-03-20 02:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","No exhibe nomina de personal de control habilitado - Presencia de menores","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Desestimado","2012-06-22 12:43:11.333","Call Center","2012-05-24 19:08:35.477","06"
329,"2012-05-26 03:00:00","Buenos Aires","San Miguel","San Miguel","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Controladores","","","Derivado","2012-05-28 14:40:07.757","Call Center","2012-05-26 03:32:38.610","06"
330,"2012-05-12 01:00:00","Santa Fé","Rosario","Rosario","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-05-28 14:52:34.460","Página web de RENCAP ","2012-05-26 15:56:15.333","82"
331,"2012-05-25 04:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-05-28 14:57:26.427","Call Center","2012-05-28 11:26:34.897","02"
332,"2012-05-27 03:00:00","Buenos Aires","La Plata","La Plata","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-05-28 14:50:27.073","Call Center","2012-05-28 13:36:14.017","06"
333,"2012-05-27 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Pueyrredón","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2012-05-30 14:59:20.460","Página web de RENCAP ","2012-05-29 23:38:03.860","02"
334,"2012-06-03 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04 15:58:58.477","Call Center","2012-06-04 09:45:26.990","02"
335,"2012-06-01 03:00:00","Buenos Aires","Zárate","Zárate","","El personal de control no esta identificado - Presencia de menores","En el interior del local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04 16:05:06.370","Call Center","2012-06-04 09:47:42.040","06"
336,"2012-05-31 22:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado","","","","","Derivado","2012-06-04 16:06:07.070","Página web de RENCAP ","2012-06-04 10:04:01.027","02"
337,"2012-06-03 23:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04 16:20:42.160","Página web de RENCAP ","2012-06-04 13:01:53.043","06"
338,"2012-06-03 02:00:00","Buenos Aires","La Plata","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-06-04 16:21:32.423","Call Center","2012-06-04 14:24:24.187","06"
339,"2012-06-10 01:45:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-06-12 11:21:01.157","Página web de RENCAP ","2012-06-11 18:10:30.503","06"
340,"2012-06-09 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Desestimado","2012-06-22 12:40:34.493","Página web de RENCAP ","2012-06-12 15:17:44.703","02"
341,"2012-06-09 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-06-13 12:06:40.067","Call Center","2012-06-12 16:18:32.260","02"
342,"2012-06-10 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Saavedra","Racial","","","Controladores","Agresión verbal","","Desestimado","2012-06-22 12:41:30.743","Página web de RENCAP ","2012-06-12 23:15:22.293","02"
343,"2012-06-17 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-06-19 12:13:59.043","Call Center","2012-06-18 11:18:07.313","02"
344,"2012-06-17 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Soldati","","","","En el interior del local - En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2015-11-19 15:17:34.493","Call Center","2012-06-18 16:45:39.863","02"
345,"2012-06-20 01:00:00","Buenos Aires","Quilmes","Quilmes","Por indumentaria","Presencia de menores","En el acceso local","Controladores","","","Derivado","2012-06-22 12:36:35.330","Call Center","2012-06-21 13:14:45.290","06"
346,"2012-06-20 02:00:00","Mendoza","Godoy Cruz","GODOY CRUZ","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-06-22 12:39:38.347","Call Center","2012-06-22 11:34:14.997","50"
347,"2012-06-16 20:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-06-26 14:00:45.763","Call Center","2012-06-22 15:18:23.070","02"
348,"2012-04-06 02:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","San Telmo","","No exhibe condiciones de adminsión y permanencia","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2012-06-26 14:10:43.503","Página web de RENCAP ","2012-06-25 04:54:40.803","02"
349,"2012-06-24 06:00:00","Buenos Aires","Bahía Blanca","","","","En el interior del local - En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-06-27 15:11:22.160","Call Center","2012-06-25 09:51:01.563","06"
350,"2012-06-24 03:30:00","Buenos Aires","Ituzaingó","","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2012-06-26 14:23:18.397","Call Center","2012-06-26 13:53:03.490","06"
351,"2011-07-28 00:48:00","Salta","Salta","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores","","","Derivado","2012-06-26 14:14:12.213","Call Center","2012-06-26 14:06:42.093","66"
352,"2012-03-06 01:30:00","Buenos Aires","Morón","Haedo","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-06-28 11:00:53.910","Página web de RENCAP ","2012-06-27 19:32:50.633","06"
353,"2012-06-05 02:36:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-06-28 11:01:40.603","Página web de RENCAP ","2012-06-27 19:36:20.047","06"
354,"2012-06-30 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Colegiales","","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2012-07-02 12:56:22.903","Página web de RENCAP ","2012-06-30 07:49:32.637","02"
355,"2012-06-30 02:30:00","Entre Ríos","Paraná","","Racial","","En el acceso local","Controladores","","","Derivado","2012-07-04 12:55:03.497","Call Center","2012-07-02 16:10:37.793","30"
356,"2012-06-30 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-07-03 14:10:05.713","Call Center","2012-07-02 19:04:41.737","02"
357,"2012-05-07 11:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Urquiza","","","El personal de control no esta identificado","","","","","Derivado","2012-07-05 15:52:05.900","Página web de RENCAP ","2012-07-05 11:37:18.820","02"
358,"2012-05-07 00:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Recoleta","","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-07-06 13:12:22.270","Página web de RENCAP ","2012-07-06 12:57:06.940","02"
359,"2012-07-07 18:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-07-10 10:52:08.977","Página web de RENCAP ","2012-07-07 21:26:53.470","06"
360,"2012-01-07 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-07-10 10:53:31.687","Página web de RENCAP ","2012-07-07 22:11:59.673","02"
361,"2012-07-07 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2012-07-10 10:54:37.440","Página web de RENCAP ","2012-07-08 20:41:42.187","02"
362,"2012-07-07 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el interior del local","","Agresión verbal - Agresión física","","Derivado","2012-07-10 10:55:42.570","Página web de RENCAP ","2012-07-09 23:22:21.400","02"
363,"2012-07-07 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2012-07-10 10:56:29.727","Página web de RENCAP ","2012-07-09 23:35:10.440","02"
364,"2012-07-09 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-07-11 12:30:40.353","Call Center","2012-07-10 16:30:43.473","02"
365,"2012-07-07 03:00:00","Buenos Aires","San Nicolás de Los Arroyos","","Por orientacion sexual","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-07-11 10:19:51.273","Página web de RENCAP ","2012-07-10 19:40:39.803","06"
469,"2013-01-17 21:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-01-22 13:04:07.960","Call Center","2013-01-18 12:13:55.673","02"
470,"2013-01-17 21:45:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","","","","Derivado","2013-01-28 13:34:15.777","Página web de RENCAP ","2013-01-21 18:24:50.837","02"
471,"2013-01-26 03:30:00","Buenos Aires","Junín","Junín","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Desestimado","2013-02-13 10:48:04.493","Página web de RENCAP ","2013-01-26 15:35:13.567","06"
472,"2013-01-27 03:30:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local - En el acceso local","Controladores - Policias","Agresión física","","Derivado","2013-01-30 15:57:12.543","Call Center","2013-01-29 15:31:19.173","06"
473,"2013-01-26 03:30:00","Buenos Aires","Junín","Junín","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2013-02-07 15:32:40.877","Call Center","2013-02-07 15:13:14.997","06"
474,"2013-02-10 02:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","","Agresión verbal","","Derivado","2013-02-26 17:03:57.253","Página web de RENCAP ","2013-02-11 02:37:42.930","06"
475,"2013-02-10 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-02-15 13:15:30.483","Página web de RENCAP ","2013-02-12 17:24:20.910","02"
476,"2013-02-16 07:00:00","Buenos Aires","La Matanza","Ramos Mejía","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2013-02-25 13:46:26.450","Página web de RENCAP ","2013-02-18 15:19:48.993","06"
477,"2013-02-16 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-02-27 17:50:32.887","Página web de RENCAP ","2013-02-20 12:02:22.177","02"
478,"2013-02-14 06:39:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","","","","Controladores","Agresión física","","Derivado","2013-03-06 15:23:05.387","Call Center","2013-02-22 14:57:19.613","02"
479,"2013-02-16 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-02-26 14:57:40.497","Call Center","2013-02-25 15:49:55.090","02"
480,"2013-02-10 23:00:00","Córdoba","Morteros","MORTEROS","Por indumentaria","","","Personas vinculadas a la empresa","","","Desestimado","2013-03-13 14:30:25.133","Página web de RENCAP ","2013-02-27 10:47:26.973","14"
481,"2013-02-28 20:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-03-12 13:04:36.297","Call Center","2013-03-01 12:57:37.807","02"
482,"2013-03-02 06:00:00","Buenos Aires","La Plata","La Plata","","","En el interior del local - En el acceso local - En las proximidades del local","Controladores","Agresión física","Se solicitó asistencia policial","Derivado","2013-03-06 11:43:05.443","Página web de RENCAP ","2013-03-02 07:08:52.450","06"
483,"2013-02-01 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por ideologia","","En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2013-03-04 13:50:54.590","Página web de RENCAP ","2013-03-02 17:00:10.747","02"
484,"2010-12-25 03:00:00","Santa Fé","San Guillermo","San Guillermo","Por ideologia","","","","","","Derivado","2013-03-12 12:21:52.923","Página web de RENCAP ","2013-03-04 12:05:51.743","82"
485,"2013-02-28 21:47:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2013-03-05 14:22:20.327","Página web de RENCAP ","2013-03-04 12:52:54.077","02"
486,"2013-02-21 19:45:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-03-05 14:24:48.853","Call Center","2013-03-04 15:33:57.033","02"
487,"2013-02-21 21:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Por religion - Por ideologia","El personal de control no esta identificado","En el acceso local","Controladores - Personas vinculadas a la empresa","","Se solicitó asistencia policial","Derivado","2013-03-06 11:39:25.330","Call Center","2013-03-05 13:59:31.257","02"
488,"2013-03-03 13:30:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-03-08 13:20:14.453","Call Center","2013-03-07 17:18:52.037","06"
489,"2013-03-07 23:40:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","Hay mas personas que las permitidas por la habilitación","","","","","Desestimado","2013-03-22 12:42:47.203","Página web de RENCAP ","2013-03-08 22:40:22.760","02"
490,"2013-03-09 00:50:00","Buenos Aires","La Matanza","Ramos Mejía","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","","","","Derivado","2013-03-11 13:31:09.243","Página web de RENCAP ","2013-03-09 12:12:31.373","06"
491,"2013-03-08 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2013-03-11 13:33:36.530","Página web de RENCAP ","2013-03-09 14:39:27.473","02"
492,"2013-02-11 02:00:00","Mendoza","Junín","Ingeniero Giagnoni","Por orientacion sexual","","En el acceso local","Controladores","","","Desestimado","2013-03-13 14:32:15.863","Call Center","2013-03-11 12:22:37.737","50"
493,"2013-02-12 00:00:00","Buenos Aires","Vicente López","Vicente López","","","En el interior del local","Personas vinculadas a la empresa - Policias","Agresión física","Se hizo denuncia policial","Derivado","2013-04-15 15:34:06.113","Call Center","2013-03-12 16:48:32.940","06"
494,"2013-03-09 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-03-15 11:57:46.187","Página web de RENCAP ","2013-03-13 16:11:38.467","02"
495,"2013-03-17 03:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por aspecto físico","","En el acceso local","","","","Derivado","2013-03-22 12:42:25.300","Página web de RENCAP ","2013-03-18 09:36:26.263","06"
496,"2013-03-17 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2013-04-05 09:58:37.947","Call Center","2013-03-19 18:48:41.997","02"
497,"2013-03-07 00:30:00","Buenos Aires","Quilmes","Bernal","Por ideologia","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-04-04 14:01:49.500","Página web de RENCAP ","2013-03-23 13:00:00.563","06"
498,"2013-03-09 05:00:00","Mendoza","Mendoza","","Racial","","En el acceso local","Controladores","Agresión física","","Derivado","2013-04-04 14:09:23.033","Call Center","2013-03-25 14:52:05.263","50"
499,"2013-03-24 05:00:00","Buenos Aires","Bahía Blanca","Bahía Blanca","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2013-04-04 14:21:38.097","Call Center","2013-03-26 13:47:20.010","06"
500,"2013-03-31 00:05:00","Buenos Aires","San Miguel","San Miguel","Por orientacion sexual","","","Personal de empresas de seguridad","","","Derivado","2013-04-05 12:44:23.377","Página web de RENCAP ","2013-03-31 04:07:21.397","06"
501,"2013-04-06 01:00:00","Buenos Aires","San Miguel","San Miguel","Por indumentaria","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-04-12 13:15:20.583","Página web de RENCAP ","2013-04-08 10:47:27.523","06"
502,"2013-04-07 02:30:00","Buenos Aires","Suipacha","","Por orientacion sexual","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2013-04-09 13:15:53.420","Call Center","2013-04-08 12:31:20.920","06"
503,"2013-04-07 06:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Telmo","","","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-04-09 13:24:01.597","Call Center","2013-04-08 15:02:10.897","02"
504,"2013-04-05 11:56:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por ideologia","El personal de control no esta identificado","","","","","Derivado","2013-04-12 13:21:41.567","Página web de RENCAP ","2013-04-09 14:13:19.453","02"
